#{"t_start": 1789504209.477733, "env_id": "None"}
r,l,t,is_success,collision,timeout,path_length,start_dist
-30.123606,205,3.840125,False,True,False,12.901600778931403,4.298808752069021
-20.146087,9,3.907403,False,True,False,0.5368959407579585,1.8671300105730722
-26.828437,56,4.326069,False,True,False,3.723469884143204,5.117938017257693
-28.899189,139,5.057999,False,True,False,8.379445851315591,3.191387035898087
-25.270662,44,5.250142,False,True,False,2.761751380530979,3.6520174399552277
-50.691331,273,8.050344,False,True,False,15.988446172541906,1.7038989858122888
-33.806723,116,8.572817,False,True,False,6.781172926466529,2.577878581958742
-41.65997,235,10.882951,False,True,False,14.115296332969256,3.28868257054415
-39.654643,188,17.023474,False,True,False,11.699162086511118,4.699355402780908
-16.957831,300,19.615691,False,False,True,17.908391135365655,2.620581259119813
-30.015186,187,20.480666,False,True,False,12.29289052184922,3.384021090066658
-12.075173,300,23.10972,False,False,True,18.338495054032183,3.585004109657295
21.087394,73,23.471276,True,False,False,4.563368908882088,1.5989781165007184
-8.925392,300,24.895593,False,False,True,19.012639938765552,3.723026730467768
-21.696889,67,25.20666,False,True,False,4.277806505622449,3.6615548243201426
33.05501,108,32.381166,True,False,False,7.884298005805896,4.2000741344637635
-11.712557,300,33.748132,False,False,True,18.85832575577606,5.0315725254491905
16.118251,143,34.396152,True,False,False,8.71584689532671,1.7053760638117477
-27.813817,224,38.066102,False,True,False,13.591848580719887,3.561193763631013
-19.217063,183,39.459642,False,True,False,11.375501814724245,5.024342506035675
-20.151387,59,39.901396,False,True,False,3.649190590989351,4.053738995585237
24.822781,109,42.734789,True,False,False,6.9163825284122,2.754608859594775
-11.905426,122,43.658272,False,True,False,7.904400164778204,6.007035390876652
30.088057,215,48.5874,True,False,False,13.846114360933543,5.2743992040315515
25.934811,210,52.216336,True,False,False,13.539721447303037,4.625866827913953
18.995809,233,54.037181,True,False,False,14.04687431199944,3.7219181303546054
33.49459,118,54.936587,True,False,False,7.915775626282808,4.68148864604171
39.172831,90,55.627698,True,False,False,7.063368050394369,5.062418799247518
-21.418994,11,57.729276,False,True,False,0.9259616355559322,3.3116820240459224
33.395147,124,58.664605,True,False,False,8.67500579206352,4.589396785709704
31.012663,125,59.629986,True,False,False,8.79532197883373,4.14735150400692
29.433815,70,60.171198,True,False,False,5.04256278999639,3.232613689115294
27.210529,229,66.154203,True,False,False,14.542170535887058,5.519859007862905
30.311457,45,66.488095,True,False,False,3.5803327798502522,2.802141260228207
34.097851,63,66.973325,True,False,False,5.240682199636783,3.9951789108793974
-16.76005,68,67.491967,False,True,False,4.4880862419743375,4.382477057064691
32.91045,103,68.27214,True,False,False,7.327082145203795,4.316898805227202
31.410275,42,68.590265,True,False,False,3.3417575868503664,2.9460831306277067
-21.352374,49,68.963314,False,True,False,3.38529519498127,2.9989113034315333
-14.438669,39,69.267861,False,True,False,2.950730428268306,3.3810333445702287
30.252465,81,71.880763,True,False,False,5.232713147412863,3.2084741956280856
25.332076,65,72.383681,True,False,False,4.6161236165831445,2.200145328924605
-1.497242,90,73.067096,False,True,False,6.848764142664744,6.529209532543634
26.919375,27,73.276229,True,False,False,2.1372461135368077,1.8764228853905955
36.065397,73,73.835497,True,False,False,5.5095074484137365,4.187044947921371
38.312597,102,74.61501,True,False,False,8.082260339449382,5.321513753226666
-9.294598,65,75.117388,False,True,False,4.907580762068746,6.146156845414808
-7.677703,53,75.548265,False,True,False,4.457496528732873,5.38301052028762
-19.162396,31,77.827347,False,True,False,1.9694295691491264,3.1609552903042117
38.848451,75,78.400093,True,False,False,6.135054386789839,4.735927226535729
33.963042,78,80.567282,True,False,False,5.814674834577033,3.9285277546883974
27.141105,75,81.141537,True,False,False,5.401139948092533,2.8766337076051176
26.511811,17,81.269819,True,False,False,1.6314583132879723,1.685249352474792
-14.680852,41,81.581651,False,True,False,3.060317440461416,2.8078388023365712
38.662643,120,82.508499,True,False,False,8.587526730703663,5.27996399370272
29.714133,58,82.957746,True,False,False,4.456998776863601,2.874796359810705
29.720907,42,85.317631,True,False,False,3.3286516030236117,2.8094706372584954
38.678828,125,86.270535,True,False,False,9.464336504385274,5.60207573657946
39.823263,158,87.505899,True,False,False,11.796575845071445,6.443135634149517
26.241992,37,87.786986,True,False,False,2.9216999101940573,1.9063902729659898
-16.886221,48,88.15938,False,True,False,3.545840285503688,5.621928103047536
33.837502,84,88.80208,True,False,False,5.934346467153572,4.042203377965526
29.094324,39,89.106116,True,False,False,2.9648642491044144,2.4843893419980065
28.799377,33,91.399569,True,False,False,2.8884011713020827,2.4088464960445317
44.258367,121,92.342065,True,False,False,9.465686376020225,6.371604378445588
32.238484,30,92.576902,True,False,False,2.8257270535233876,2.8980425822337943
30.018374,45,92.926208,True,False,False,3.4059804139215744,2.726900069634125
41.262905,227,96.542749,True,False,False,17.310599616542127,7.72572959062577
26.715985,23,96.728445,True,False,False,1.900066731587132,1.8360718597737398
35.029999,56,99.144197,True,False,False,4.6433093609414,3.926936182456141
26.546634,23,99.322795,True,False,False,1.699541012910213,1.7805035295050118
29.626077,58,99.768588,True,False,False,4.625133179222262,2.920172621286787
36.597725,66,100.274227,True,False,False,5.083086386361002,4.177326262232701
24.726591,28,100.489489,True,False,False,2.0787274264688236,1.5076379343473119
