#{"t_start": 1789506607.7764492, "env_id": "None"}
r,l,t,is_success,collision,timeout,path_length,start_dist
-26.271795,146,0.81999,False,True,False,4.109795612380663,5.085432292502608
-31.398274,62,0.840246,False,True,False,2.1770421018759687,3.147069757252435
-23.389861,24,0.848441,False,True,False,0.8938535595122584,1.5132183720768433
-36.204067,108,0.882449,False,True,False,5.132462265505389,3.730288177022083
-22.418872,62,0.905248,False,True,False,2.41903017498776,3.6971134380048554
-24.363868,300,1.004087,False,False,True,12.36436916964152,3.8551051459112373
-29.224009,289,1.094594,False,True,False,10.828387090885878,4.632832315200002
-29.227569,90,1.122521,False,True,False,4.181938217158581,7.58763159995416
-45.613968,251,1.207634,False,True,False,11.913390049754547,4.4530981408216235
-25.52629,52,1.223862,False,True,False,1.3806119103224512,3.8878804853678495
-19.758069,300,1.320693,False,False,True,12.973158338041202,5.665509645722473
-28.576772,300,1.415154,False,False,True,10.55924239719499,5.456364679094336
-21.158699,95,1.447565,False,True,False,2.9385606474744788,3.0439811069641016
-24.126626,107,1.482232,False,True,False,3.958236208767195,3.1778873463561923
-17.717684,179,1.53844,False,True,False,8.106925664987005,4.499196799675712
-32.288541,78,1.563086,False,True,False,3.711145617392958,6.481133782344534
-47.725258,158,1.61983,False,True,False,8.15685013530986,3.2979099145120854
-33.10652,120,1.663892,False,True,False,3.9933333602321026,1.789770353769145
-19.447587,78,1.695775,False,True,False,2.597151541999757,7.263755376056618
-20.914745,300,1.809267,False,False,True,7.621174988307351,5.950697477430955
-22.627346,300,1.908739,False,False,True,11.478371530674012,2.8869445011018686
-21.153793,17,1.915882,False,True,False,0.5182880532502508,4.717756046858592
-20.423891,42,1.929743,False,True,False,1.7037837635821167,6.247134948766826
-32.410112,300,2.023157,False,False,True,11.483787279142248,2.1907878542975987
-24.160331,271,2.109783,False,True,False,13.819439887103146,4.47836539950896
-19.846807,300,2.206702,False,False,True,11.135859361478598,4.7600692146993975
-20.210968,300,2.303978,False,False,True,10.606087204400994,4.148493114421394
-21.025459,26,2.312411,False,True,False,1.1978600801897625,5.630342385728922
-35.870362,255,2.394084,False,True,False,13.044367796051787,3.4525019659960328
-32.03455,107,2.552779,False,True,False,2.688035414948139,1.9683628661206023
-25.377068,32,2.799098,False,True,False,1.3026995679470879,3.6088458985167664
-32.134677,90,3.481497,False,True,False,2.5898876832507662,5.081437055010593
-22.081786,300,5.791627,False,False,True,13.390296471903458,4.597719254003938
-18.593776,50,6.197537,False,True,False,2.809703479696546,5.806707653267589
-25.151435,69,6.711328,False,True,False,3.0940722119979385,3.5992844947253633
-15.18612,300,9.013222,False,False,True,12.028974264020523,3.3319502499709297
-27.55536,83,9.650137,False,True,False,3.4995862934800965,1.8598014524922302
-24.238513,300,11.971088,False,False,True,9.37597616374692,5.439595931394689
-35.341322,299,14.863848,False,True,False,10.862902858114467,2.74860747661532
-41.186001,235,16.668779,False,True,False,11.318191071639035,4.953963611908518
-19.032786,68,17.220048,False,True,False,2.042203788534967,5.262219791539515
-24.412104,300,19.55528,False,False,True,13.900991828402216,2.34018136862882
-28.429035,300,22.489199,False,False,True,11.056732820281114,1.5649387699467285
-48.276915,176,24.557122,False,True,False,6.0553074434111975,1.8923565797341575
-17.469906,300,26.963006,False,False,True,11.834665320477571,4.9380447642061025
-19.358065,300,29.642548,False,False,True,7.844803355311617,2.291431559376595
-17.930036,300,32.013371,False,False,True,9.03398034389217,6.506560622992738
-17.628076,300,34.456974,False,False,True,7.839415617385741,2.099798809002189
-23.987158,153,35.794931,False,True,False,5.1753113866919245,3.2302412034448116
-25.305765,166,37.145101,False,True,False,8.483375032630226,5.754430771944457
-32.358211,233,39.164038,False,True,False,7.8296298448468304,3.859741020852988
-20.430111,49,39.55745,False,True,False,1.9225718642217733,2.959387410379663
-10.600156,300,41.967056,False,False,True,11.070274525998672,3.5220241024279484
-22.142204,300,48.122711,False,False,True,10.91534413446438,5.885516139317818
-33.375537,242,50.000939,False,True,False,8.553981051694125,5.233956095217267
-61.807997,267,52.121407,False,True,False,10.509386984229732,3.625329447628865
-23.68948,300,54.515922,False,False,True,12.353121851979155,3.47949315946417
-30.383535,300,56.860258,False,False,True,14.512063244683132,2.8908850508135497
-27.308453,300,59.203033,False,False,True,7.522019202617172,4.331940770896192
-13.814468,300,61.685007,False,False,True,10.395302272410124,2.682337511402912
-33.638599,300,63.961419,False,False,True,11.253507790246106,2.9816729031803013
-28.614686,300,66.332375,False,False,True,15.342259230275905,5.02592671373599
-26.594754,300,68.749686,False,False,True,13.731758671140243,2.4114654286255774
-8.594415,300,71.172936,False,False,True,10.1381020986485,5.110428895601085
-28.822993,300,73.584368,False,False,True,10.290663718771832,2.772304436882885
-54.174043,278,75.791421,False,True,False,10.420610086596819,5.697394117767527
-21.370335,300,78.080316,False,False,True,13.160195103957204,3.700987258132457
21.737075,170,79.382388,True,False,False,6.942846215365534,2.9687222048685213
16.775219,229,81.242446,True,False,False,9.457798647393652,2.782246645411385
-23.684567,300,83.561239,False,False,True,9.616282540512367,2.4929102762115574
-16.848812,300,86.073551,False,False,True,13.53040396994637,2.439538797194815
