#{"t_start": 1789506487.5206478, "env_id": "None"}
r,l,t,is_success,collision,timeout,path_length,start_dist
-19.199119,46,2.626881,False,True,False,1.8749120330626334,2.353065524553438
-16.901654,36,2.970116,False,True,False,2.8510843091713682,6.4645233510509215
-39.047613,110,3.839506,False,True,False,5.024389550277948,4.55009387923804
-47.965353,171,5.193748,False,True,False,7.365949012655845,3.5943666596108015
-26.644503,23,5.375213,False,True,False,0.9427019788973573,3.1663060393358102
-38.872386,95,6.118312,False,True,False,6.253299808429715,2.864116509181855
-27.242642,300,11.58422,False,False,True,7.792300262461336,5.016740011373808
-35.626502,137,12.636168,False,True,False,4.267649691489661,3.094478316371262
-21.599498,24,12.805878,False,True,False,1.256220330839769,4.508076924089984
-46.939255,233,16.76347,False,True,False,12.770777278350582,4.397681795701997
-26.618187,300,19.099034,False,False,True,7.654211680236175,1.724080095471481
-21.108236,300,23.448695,False,False,True,18.280714239669024,5.359165765027574
-20.772073,68,23.987308,False,True,False,3.26597475093407,5.468670449839653
-22.546111,47,24.347516,False,True,False,2.2650143464095565,5.515168104978766
-15.734744,300,28.841426,False,False,True,14.786722616692854,4.1952801156831425
16.939549,124,29.817171,True,False,False,4.2566294263827675,1.5972996390160061
-20.7802,45,30.18682,False,True,False,1.6831807176176712,3.9504533435852394
-25.374853,45,30.542234,False,True,False,2.9175754946699533,3.7805465520338353
-20.843389,300,42.391726,False,False,True,12.11547720994684,6.172231146707115
-23.082026,300,44.760714,False,False,True,8.478123861691113,3.1157599617733567
-26.44192,150,47.834956,False,True,False,8.054118395683568,4.428382670425916
-11.45341,300,50.173629,False,False,True,19.19656063378891,3.180635905987794
18.708996,166,53.464115,True,False,False,7.036519592678605,2.571339895407024
-12.098792,300,55.856328,False,False,True,9.754485036676144,5.621635113325089
-22.331031,39,56.172518,False,True,False,1.2985743025541774,1.951322030208611
8.361278,246,60.343287,True,False,False,13.125312959538528,1.7925743544067452
20.450652,240,62.299787,True,False,False,11.946170852172202,3.9765240114800537
-3.686479,300,66.747415,False,False,True,10.954378129800716,5.119681560490168
20.982811,104,67.589678,True,False,False,4.103409049563076,1.9448443309964394
29.550085,103,68.413472,True,False,False,5.628272948104131,3.4724067516296766
13.736133,281,76.409629,True,False,False,7.051381397158612,3.207540238842746
-9.975306,40,76.723134,False,True,False,3.1913426708931447,3.5802804850522705
-9.903536,110,77.615987,False,True,False,6.397075206163096,4.501934087592269
26.770272,50,78.012323,True,False,False,3.207805518285638,2.2154116243444535
30.427497,124,79.004629,True,False,False,7.010670685136325,4.1042568942278095
-16.474227,64,79.508504,False,True,False,4.0081595615522705,5.677840653638264
24.097729,39,81.818937,True,False,False,2.6039978961240133,1.7878444152831954
-7.934667,78,82.443571,False,True,False,5.028869931201585,5.26105207508164
27.669454,71,83.00654,True,False,False,3.3543195966768344,2.671512058423909
22.157136,118,83.938653,True,False,False,3.3983674246637263,2.301387406497062
31.894425,98,84.709381,True,False,False,6.4425994086526925,4.153071486514679
28.87447,119,85.663769,True,False,False,6.919436306066715,3.6236147151060134
36.489076,103,88.455656,True,False,False,7.481963400166944,4.761268328066174
28.349216,118,89.405211,True,False,False,6.673215835942302,3.6271877105055745
29.476897,216,91.113433,True,False,False,14.115200154062746,5.889073820479248
43.94362,115,94.040668,True,False,False,7.992094147521606,6.559732958914612
-21.254229,48,94.423114,False,True,False,2.5447651625913736,1.7988846726124899
-15.939431,18,94.567472,False,True,False,1.1905146872805896,5.054183227847921
30.448446,41,94.898167,True,False,False,2.884415378525399,2.763199112529211
22.926768,58,95.381754,True,False,False,2.0746826854039333,1.6421803754281694
28.987327,141,96.492911,True,False,False,7.336246568497983,4.023166273184998
28.095598,47,96.874698,True,False,False,3.8501242592293785,2.4157965649234527
29.943417,228,100.767363,True,False,False,8.92542154335604,5.653796035171118
33.211102,269,104.768778,True,False,False,11.512687756522674,7.033956954707168
46.594242,122,105.719852,True,False,False,9.345584404056467,6.861768560042338
23.139013,115,108.69044,True,False,False,4.396020361619892,2.7898075000911047
38.547928,67,109.228558,True,False,False,5.384873408285561,4.667346545233971
24.59563,82,109.858802,True,False,False,4.941141564283663,2.234967267914599
23.999206,114,110.775137,True,False,False,3.759170561295598,2.719141900215397
-19.527498,9,110.848975,False,True,False,0.39385713362073804,5.220245849886902
31.530151,68,111.403303,True,False,False,3.8881663213253215,3.230233617916572
-8.303841,52,111.826144,False,True,False,4.3561033703416925,4.986787558336471
29.416745,55,114.326396,True,False,False,4.002518107775633,2.8523247951986317
37.09387,71,114.903264,True,False,False,5.616817473538342,4.3994806364787005
-19.107785,45,115.26279,False,True,False,1.5921903233684083,2.935253647454026
39.118992,128,116.26677,True,False,False,7.7704679388332325,5.6730550913817455
26.772387,38,116.559081,True,False,False,3.4707582979435876,2.1459365897610607
34.728452,87,117.22689,True,False,False,5.915325773115432,4.261796513218663
-20.356247,16,117.356826,False,True,False,0.7314994603395524,4.684179372823008
-12.086645,105,120.16374,False,True,False,4.270128912156097,5.169831363295582
-19.684113,52,120.578672,False,True,False,3.1539724079621263,2.898233879445007
29.76117,70,121.153163,True,False,False,4.256001015719688,3.1497826271231717
25.852748,112,122.046645,True,False,False,5.118196089303401,2.9042158637414914
-14.199404,60,122.518351,False,True,False,3.9546537934592694,3.9515009420225087
31.359765,74,123.071134,True,False,False,4.09284089695345,3.320152747888567
30.759453,25,123.269826,True,False,False,2.6928978477062553,2.556660602504488
33.31966,136,126.301559,True,False,False,6.179704057584142,4.586856366091755
29.857685,64,126.827423,True,False,False,4.191508032550156,3.007223792400361
42.211176,79,127.468528,True,False,False,6.020052730255273,5.418427631481074
23.575224,137,128.576389,True,False,False,5.869929315906004,3.5240198979593043
-8.562253,181,130.025308,False,True,False,8.1741763148413,6.894122324598461
22.651344,87,132.704251,True,False,False,3.3547559549093955,2.556170928259312
29.845918,90,133.410652,True,False,False,4.537372951048244,3.2978113482027935
36.146068,174,137.110202,True,False,False,6.542590238782196,5.5755460990719605
25.713245,102,137.891605,True,False,False,6.55317525275183,2.936075283718365
41.443506,144,141.082629,True,False,False,10.161025790716144,6.176247198220718
-16.526163,28,141.308986,False,True,False,1.5724818887995933,3.5058776074730567
20.039337,231,143.123148,True,False,False,9.871787616831508,3.6964854934617097
31.282107,89,143.827944,True,False,False,5.022319486785786,3.7906210521637105
24.784155,31,144.072658,True,False,False,1.8805547451313218,1.5688811256851183
32.406211,193,147.648425,True,False,False,9.626555232147535,5.132152282194206
28.707112,82,148.32237,True,False,False,3.6499869225199912,2.9877916918231024
30.837416,59,148.798304,True,False,False,3.7237524010542233,3.0482139110590243
28.519,61,149.285267,True,False,False,3.0199682634611684,2.6795792580960707
30.100014,149,150.459289,True,False,False,5.7877187081437675,4.101445122335084
33.750999,46,153.485487,True,False,False,3.8309916906119406,3.3916786431845867
32.704927,51,154.001418,True,False,False,3.9902561130734884,3.3353754009182794
25.158639,64,154.875262,True,False,False,2.7224048189191374,2.1310311403775426
35.348286,87,155.73172,True,False,False,5.315935224742598,4.201613531176449
32.159309,56,156.222752,True,False,False,4.448579871015727,3.2791947314711782
39.494808,94,156.977175,True,False,False,6.031850140561705,4.994262779734829
39.271251,102,157.791849,True,False,False,7.416617685611867,5.527622308084342
25.990557,71,160.288135,True,False,False,5.1150511007015975,2.36851660029961
42.719486,60,160.765378,True,False,False,5.823738438594047,5.188572781384474
30.098405,68,161.32635,True,False,False,3.5222207455443186,3.0776521068458598
-15.401077,18,161.469695,False,True,False,1.386922117596647,6.910244716243832
27.064915,29,161.706607,True,False,False,2.0743638270339724,2.0683211077215695
25.928244,71,162.254363,True,False,False,3.0716026736804727,2.4675039193400687
-17.077851,18,162.403558,False,True,False,1.1237911884589922,1.858544644791063
33.549817,58,162.880782,True,False,False,4.034165931271007,3.475994170739088
37.533884,134,163.97378,True,False,False,6.695123256084659,5.255313092264748
28.397934,58,166.528621,True,False,False,4.099128979641057,2.6347633094470795
31.254864,63,167.037093,True,False,False,3.675470138758323,3.081826513331908
-21.360853,44,167.391529,False,True,False,1.7566284976432316,5.292432249376363
39.526323,64,167.889222,True,False,False,4.964147204743142,4.660443291732305
27.414264,30,169.919715,True,False,False,2.108949670665802,2.0129064109945305
28.719767,39,170.24467,True,False,False,2.7192349599328605,2.5021402434445266
30.889369,110,171.14211,True,False,False,6.8633889504902905,3.8522613874611165
27.920444,52,171.557379,True,False,False,3.366852658962457,2.4669958391204596
31.068373,90,174.316106,True,False,False,4.616632780796124,3.5360985468890687
24.803393,97,175.098878,True,False,False,4.473650039818005,2.472320143978758
31.44928,53,175.521958,True,False,False,3.954580537954162,3.141140779123541
-10.941947,50,175.91588,False,True,False,3.603631216219839,4.0277860658929585
40.16048,121,176.877654,True,False,False,9.057392620740762,5.793967117303401
32.802102,47,177.242259,True,False,False,3.3404955330889754,3.2651418125087766
35.535473,47,177.617629,True,False,False,3.55554149283289,3.6657685553613795
33.474128,66,178.135216,True,False,False,3.9315984054520685,3.570373555244179
27.174529,43,180.443246,True,False,False,3.659112505598018,2.399897397008351
41.152417,87,181.178697,True,False,False,6.926355008337477,5.370411233346004
-20.544465,26,181.395553,False,True,False,1.06328926792553,2.933422666439649
33.419988,72,181.982516,True,False,False,5.064677277909192,3.7439953893791715
34.893563,69,182.551661,True,False,False,4.050993434771223,3.884012228190486
38.076934,79,183.177131,True,False,False,4.871483032146589,4.498115286308504
-13.305658,19,183.325843,False,True,False,2.0189624835468476,5.298924687883628
30.392819,111,184.250551,True,False,False,4.344956601766858,3.5976066449401114
33.537232,219,187.903886,True,False,False,8.685116007768565,6.10926268219075
41.574514,45,188.273141,True,False,False,5.070597481113978,4.823137033797024
37.715279,83,188.95479,True,False,False,5.63085121336752,4.615658333727995
31.959026,34,189.223393,True,False,False,2.8763986217354773,2.8942386526545323
27.762098,28,189.455211,True,False,False,1.9818807796793032,2.0214550215808567
-17.175399,11,189.547215,False,True,False,0.7921292298696639,1.748115501254243
26.124193,65,190.074072,True,False,False,3.9682713723844802,2.425551225417485
26.38174,49,190.46027,True,False,False,3.5658420955997796,2.2088568792386027
32.754147,78,193.132472,True,False,False,4.490790298191799,3.727139254383852
27.424172,30,193.386894,True,False,False,2.341555255110814,1.984441700623535
35.398646,49,193.786253,True,False,False,3.7830455767467632,3.63434052389386
31.30256,50,194.187578,True,False,False,3.1212889559601806,2.952328542059198
44.622722,75,194.790441,True,False,False,5.809024544183811,5.6279760732249775
24.951165,67,195.336506,True,False,False,3.2379564946794863,2.0897515664882538
34.528904,219,199.14309,True,False,False,9.200984481915043,6.235598700802933
28.566988,63,199.640399,True,False,False,3.5596187593204034,2.6723385163830615
29.871099,71,202.025865,True,False,False,4.078727114529235,3.044647389653101
44.451999,68,202.575986,True,False,False,5.999566299539482,5.59110959866786
29.087833,30,202.824375,True,False,False,2.330512889377465,2.28103691065902
41.154851,75,203.437548,True,False,False,5.6181671710945285,5.065550898753887
-17.480601,18,203.58614,False,True,False,1.0509797327640014,2.8421362760495996
31.890853,104,204.428754,True,False,False,6.068760942263321,4.0146614088769645
35.170933,97,207.186419,True,False,False,7.146526205754165,4.513455329002458
33.629692,103,208.002379,True,False,False,5.522725032219613,4.132532020493795
44.972276,81,208.661513,True,False,False,5.9733814498924485,5.805588015947894
-17.339392,15,208.787177,False,True,False,1.0743000216840606,2.6876269920507805
34.346807,42,209.147508,True,False,False,3.7901599447715593,3.3907874804742093
30.546942,67,209.682665,True,False,False,3.682002821190991,3.10838913023527
31.269911,237,213.644974,True,False,False,11.048173521900026,5.728196069488611
27.471277,73,214.233894,True,False,False,4.270897766327795,2.5371210232282895
37.828252,111,215.128788,True,False,False,7.4690581183308185,5.2608770392232485
38.637777,165,216.482362,True,False,False,7.562699289174708,5.846542337201715
40.074697,99,219.240402,True,False,False,6.2409093743335,5.170481876338768
33.091969,48,219.62218,True,False,False,3.7903762590643253,3.2585993470308456
45.684381,163,220.920144,True,False,False,10.860940766793968,7.106720100152956
27.355973,22,221.094886,True,False,False,1.7199894203249078,1.851158478521538
28.781075,68,221.647434,True,False,False,3.297528400018241,2.7469620893527553
23.98476,54,222.153184,True,False,False,2.7925624023298816,1.7454463101514133
41.112403,120,223.200866,True,False,False,7.699097425728191,5.6445653772807916
33.563487,55,226.05253,True,False,False,3.7936280969572223,3.4609387906862263
28.693478,68,226.609034,True,False,False,3.603193485986866,2.705408939644274
35.086225,45,226.990548,True,False,False,3.97994064499471,3.5569235566834347
-15.333461,30,227.232374,False,True,False,1.7347862430993803,4.47129335398589
-16.219085,85,227.934569,False,True,False,2.9187648260706704,3.730812918594792
32.037806,66,228.469043,True,False,False,4.562060183412682,3.3632323995812508
30.152331,51,228.876205,True,False,False,3.794845398049032,2.8137192413035397
27.454884,18,229.021653,True,False,False,1.79127605703064,1.8941629477024673
31.032916,25,229.220595,True,False,False,2.379824620783053,2.558832193464165
33.506553,80,231.853449,True,False,False,5.1316251099736,3.9913600264302125
-6.236964,60,232.34703,False,True,False,4.471129200606201,4.889122791681162
36.344112,93,234.770762,True,False,False,8.344808024205642,4.621625029191561
46.627427,90,235.473936,True,False,False,6.857554375801755,6.177361755041832
40.101629,108,236.329116,True,False,False,7.23244028000817,5.6062999001685885
40.56751,60,236.803034,True,False,False,5.34605814815511,4.944430528698785
31.187791,77,237.413077,True,False,False,4.910357450739092,3.7779920686874515
43.008135,72,240.024234,True,False,False,5.801196226089715,5.390494256771231
-19.388742,7,240.08487,False,True,False,0.37547165084054657,2.0297933486187936
35.801958,58,240.554641,True,False,False,4.07494242433231,3.895674024171727
47.751727,122,241.54741,True,False,False,7.563365785139656,6.852495351186457
31.221668,121,242.538575,True,False,False,8.323352435508072,4.501223644816345
28.415867,20,242.700926,True,False,False,1.804103055921495,1.9959434480021658
35.193489,66,243.250176,True,False,False,5.521354838313428,4.125230425477125
33.378283,49,243.647574,True,False,False,3.9809265276288603,3.370007588481954
35.269857,65,246.235888,True,False,False,4.7686285417493846,3.9542877871394264
39.20756,142,247.352827,True,False,False,8.678832604370589,5.863324869508022
47.420054,64,247.871745,True,False,False,6.340316448648724,6.098145170643184
33.882098,47,248.243277,True,False,False,3.6592438673980228,3.405092615751599
36.031509,41,248.573297,True,False,False,3.772740328143742,3.636999212295173
27.104855,24,248.780267,True,False,False,1.8126417015724086,1.8714057765133392
28.794642,30,249.016813,True,False,False,2.3561956369453574,2.3918642442683717
34.556395,46,249.38528,True,False,False,3.922327363417987,3.5266476948775476
30.347994,46,249.7535,True,False,False,2.7416355046615073,2.655110993480816
38.51672,40,252.090981,True,False,False,4.511133213115775,4.140365144976193
34.221357,34,252.367978,True,False,False,3.157201187996876,3.3375552380306153
38.02056,84,253.065588,True,False,False,5.667741268643899,4.605569016156678
23.736245,120,254.016104,True,False,False,6.00112696681323,2.9173046119866526
36.919115,161,255.317248,True,False,False,7.6180874011478465,5.432941454789932
32.822462,75,255.926624,True,False,False,3.7691915975908086,3.4760989128215902
-7.088341,67,258.519865,False,True,False,4.4272271524194515,5.497402865338458
29.046392,103,259.366971,True,False,False,6.095146871813811,3.2562696192728073
32.70017,41,259.695331,True,False,False,3.2942270002284975,3.0411386390496022
35.305838,49,260.089551,True,False,False,4.388327730526622,3.779128121647926
29.589343,17,260.232738,True,False,False,2.056754379325355,2.178702386419461
40.961373,66,260.778116,True,False,False,6.525218455551329,5.027955844023115
35.321874,64,261.296603,True,False,False,4.132158069784875,3.85864925920537
36.195831,87,261.973357,True,False,False,5.414640554480216,4.387874328641137
40.39791,118,266.304217,True,False,False,6.666380602371445,5.387106994103372
36.03466,57,266.773966,True,False,False,4.6128858776839925,3.848577855287365
39.709821,54,267.205122,True,False,False,4.554037800946365,4.484543135778911
30.647714,38,267.495431,True,False,False,3.0958912824152964,2.727944787843099
31.171043,136,268.593581,True,False,False,6.724566771043077,4.148255542601169
8.263396,250,272.510834,True,False,False,9.897674798453608,2.186043421487837
-5.607096,45,272.879147,False,True,False,4.38706891302943,5.428377854570445
35.927935,41,273.210174,True,False,False,4.2444102014156995,3.775559146989998
45.212651,61,273.700792,True,False,False,6.763667673706017,5.708074495824163
29.797681,46,274.078969,True,False,False,3.1729952909900376,2.585548506184495
25.835113,28,274.303508,True,False,False,2.192542099737038,1.7143057631624665
39.584477,105,275.163194,True,False,False,6.490094582130757,5.216924034014835
36.334916,49,275.557576,True,False,False,4.280971339812381,3.861596301712865
34.445371,48,277.93968,True,False,False,3.589328735474615,3.4643060848721183
27.802622,37,278.238372,True,False,False,3.182102179418163,2.2144967012660532
35.211571,35,278.515782,True,False,False,3.8761245973151093,3.460538456607395
40.91418,86,279.219381,True,False,False,6.12478700072955,5.285414889143869
24.695577,37,279.512128,True,False,False,2.5181181222229325,1.6480568343405848
24.384243,39,279.819197,True,False,False,1.8641036142482665,1.5539372013233834
41.427632,62,280.312564,True,False,False,5.912985732541709,5.0527815465342
29.449391,41,280.643135,True,False,False,2.8887565801015107,2.6293020905647264
40.502242,40,280.958849,True,False,False,4.615352824046129,4.532573258412592
33.072162,73,281.561472,True,False,False,3.661719798390133,3.461189963247
36.076976,57,283.965906,True,False,False,4.796149852799651,4.0571777495920704
31.131962,102,284.78189,True,False,False,5.5457612754766,4.15926504833225
34.295853,27,285.003165,True,False,False,3.1097626401221636,3.183393555687763
25.726004,63,285.515436,True,False,False,2.3456592971273955,2.1190131539437247
37.468321,52,285.924788,True,False,False,4.26605306368184,4.055277430315822
40.359604,68,286.468526,True,False,False,5.623704165336866,4.854747846791575
30.231363,27,286.690053,True,False,False,2.345755995564704,2.388127040303124
43.472554,61,287.16975,True,False,False,5.441585344890596,5.2633794222508765
29.202013,75,287.7431,True,False,False,3.027840232700228,2.845547881519635
34.108321,45,290.145654,True,False,False,3.4332380673602065,3.2657552150267195
25.991897,45,290.514388,True,False,False,2.9691331390530773,1.9995387278207186
43.668649,152,291.714094,True,False,False,9.549087862040873,6.6719933829545734
34.834692,71,292.275409,True,False,False,4.243157288401585,3.7680127526699927
-13.212578,28,292.507426,False,True,False,2.2326972364696225,3.1118399857170647
-2.31549,63,293.045428,False,True,False,5.252113821069719,6.142550358438415
-19.086237,34,293.318873,False,True,False,0.9955328729185895,2.29196481024861
32.175704,53,293.725778,True,False,False,5.289669907369906,3.1842599021373728
30.581187,36,295.355611,True,False,False,2.7741461598397636,2.629938351575018
37.357638,51,297.733621,True,False,False,4.296734962671403,4.059537758199364
26.996598,31,297.98966,True,False,False,1.9991914313971983,1.9094337186914225
32.732679,58,298.463182,True,False,False,4.446567739491364,3.290698419894317
28.297324,53,298.896049,True,False,False,3.323892811082541,2.434706523033763
27.229855,54,299.344422,True,False,False,3.4103123844341257,2.3148751941245234
41.337672,46,299.712044,True,False,False,4.736428673285729,4.60149600473208
39.74685,95,300.470396,True,False,False,6.676327398774935,5.475668135565217
32.163255,48,300.866865,True,False,False,3.459456107469477,3.0848545647982712
47.797,137,304.11897,True,False,False,7.441223320292649,7.111771733996507
25.750535,17,304.251817,True,False,False,1.5677006984152486,1.5341216976745229
42.110399,90,304.968812,True,False,False,6.629009300395274,5.539578363437846
29.533466,45,305.325627,True,False,False,3.035664767743011,2.629256066230173
34.211441,62,305.825242,True,False,False,4.05768304447027,3.7248429908433867
3.011386,82,306.485678,False,True,False,7.219604682034636,6.756579911841149
38.077361,119,307.440355,True,False,False,8.12901029020251,5.2079741695279615
30.316989,24,307.634875,True,False,False,2.4799694929637712,2.500858170325064
34.45215,36,309.984354,True,False,False,3.3558676689738323,3.3341971514299056
26.282671,22,310.155137,True,False,False,1.5243528768041874,1.6705351003123785
24.914381,56,310.595484,True,False,False,2.955991045039943,1.9204037223210335
42.706727,98,311.395471,True,False,False,7.74848814530872,5.748691149251682
-2.04434,46,311.773328,False,True,False,4.731996527666003,5.941251137379548
34.428862,42,312.105607,True,False,False,3.523598769824545,3.4330853299618025
31.188365,37,312.411929,True,False,False,2.762409871447327,2.750874755351691
36.808366,76,313.019858,True,False,False,4.666241164019323,4.227384098569078
31.290179,65,313.542572,True,False,False,3.5638176443697804,3.1358951313880024
39.08087,50,313.944855,True,False,False,5.179826749057707,4.376310121404951
33.217131,58,316.431,True,False,False,4.003357861424976,3.3905623383491594
34.392326,42,316.772982,True,False,False,3.754356086200951,3.3668620710628154
32.303099,51,317.194665,True,False,False,3.735193692611884,3.210844156897709
24.596118,33,317.453238,True,False,False,3.2898119529144783,1.5243832359411258
41.025159,60,317.95023,True,False,False,6.230358024633582,5.167991000189592
35.874998,78,318.591484,True,False,False,4.715406841704622,4.006506477955354
27.008678,30,318.847514,True,False,False,2.3940412700628007,1.9887846560132663
36.479685,50,319.240369,True,False,False,3.9726004094885017,3.886130002254668
39.265833,79,319.879612,True,False,False,5.560397011743961,4.805718935369389
45.719734,110,322.755413,True,False,False,7.2153488150108185,6.497296644983018
24.470301,41,323.097729,True,False,False,2.2467635995186375,1.8405495794706028
29.203507,23,323.30379,True,False,False,2.032022207672591,2.24368227657314
32.074712,56,323.776186,True,False,False,3.5197316092573536,3.275943583807756
40.357193,56,324.227879,True,False,False,5.599374582627713,4.787835793219153
44.234331,65,324.742587,True,False,False,5.689285776904969,5.4938699932519945
29.811181,57,325.199268,True,False,False,3.627295348052301,2.747157266508404
30.171071,37,325.512945,True,False,False,3.710620928409004,2.730675168857478
34.582012,45,327.42539,True,False,False,4.130222551512124,3.5421943393633772
28.734269,30,327.663411,True,False,False,2.180318528823768,2.2554568603297893
45.718065,83,330.337139,True,False,False,7.160614620133092,6.322403106158105
34.514623,62,330.839199,True,False,False,4.656894827209158,3.783104410410883
39.672969,58,331.272603,True,False,False,5.575338741126215,4.6881554495257145
42.431243,86,331.999227,True,False,False,6.505401473047864,5.539761518121312
44.482349,87,332.761063,True,False,False,7.009283951119032,5.963164764735054
-6.038962,37,333.070347,False,True,False,3.578272114432207,6.245309817176719
36.701801,41,333.397449,True,False,False,3.8607959247769834,3.840390160784434
32.450254,30,333.702247,True,False,False,2.902078064348791,2.9618974888428253
24.761889,40,334.0274,True,False,False,2.28465862541657,1.750872365206527
23.349563,61,336.713573,True,False,False,2.589705150927676,1.691032490142065
43.435477,67,337.236822,True,False,False,7.715965310265012,5.639131628592229
47.809559,77,337.845322,True,False,False,7.273595104616356,6.319295518860485
41.998212,56,338.302516,True,False,False,4.945263268646238,4.94124176166369
33.221139,51,338.728461,True,False,False,3.626830817482292,3.391304822851987
29.904223,74,339.323601,True,False,False,3.886377435699396,3.2314666410049173
38.265898,39,339.640762,True,False,False,4.922724350050991,4.046962034179046
35.271493,33,339.902468,True,False,False,3.452722442628556,3.459204703353447
38.964234,100,342.736977,True,False,False,5.897980867953702,4.989307137907031
34.376001,29,342.98174,True,False,False,3.5540736476441084,3.2784759710038758
-9.571929,40,343.299963,False,True,False,2.902419494729283,4.123479559541069
36.812132,57,343.755189,True,False,False,5.152301688394608,4.209212011091249
27.920089,28,343.975986,True,False,False,2.280256727992085,2.037613977507602
49.669501,61,344.468595,True,False,False,7.932660977494966,6.670380972245833
30.698656,52,344.880364,True,False,False,4.605955616270879,2.919410125881025
29.239054,36,345.163356,True,False,False,2.4014075054266364,2.393976042129968
42.148865,56,345.632987,True,False,False,5.000323985723,4.82659763920083
-13.273039,35,345.926054,False,True,False,2.3579328880904153,3.406775947065378
42.615878,64,346.438201,True,False,False,5.128600402802282,5.05718829550644
44.940775,79,349.126954,True,False,False,7.332655932884474,5.668226893421504
39.85725,73,349.708226,True,False,False,5.974623274750165,4.992295233171252
33.172621,43,350.049732,True,False,False,3.387982248483129,3.217802603738644
