episode,policy,outcome,steps,time_s,ret,start_x,start_y,goal_x,goal_y,start_dist,final_dist,path_length,path_efficiency
0,ppo:ppo_nominal_best.zip,collision,19,2.28,-8.948,1.764388417569239,-1.7586739840602121,0.8006109862698683,2.5421683262052834,4.408,2.007,2.473,0.0
1,ppo:ppo_nominal_best.zip,collision,16,1.92,-18.363,2.055861877649704,1.9012443440130964,2.390742050536076,-3.166302050780322,5.079,4.591,1.118,0.0
2,ppo:ppo_nominal_best.zip,timeout,300,36.0,-1.807,3.1712018139801135,1.8730362829680196,0.029108857330901294,0.3423830532767518,3.495,0.856,46.045,0.0
3,ppo:ppo_nominal_best.zip,collision,51,6.12,3.812,-2.174642983309795,0.7202534673473968,3.129344945164063,-1.822024331292167,5.882,0.609,8.383,0.0
4,ppo:ppo_nominal_best.zip,collision,35,4.2,-6.694,-0.2162814379181497,2.669873748434255,-2.9716462158489847,0.09528844973676964,3.771,0.76,5.14,0.0
5,ppo:ppo_nominal_best.zip,collision,19,2.28,-12.373,-1.6159044990250828,-3.1245182365279627,0.09035293823688884,-0.02001001348157283,3.542,1.827,2.527,0.0
6,ppo:ppo_nominal_best.zip,collision,14,1.68,-18.017,2.1123054707311715,-2.2114490812067853,-0.8349676121458773,-3.176100850866714,3.101,2.564,1.416,0.0
7,ppo:ppo_nominal_best.zip,timeout,300,36.0,-4.598,1.5473340631158852,-2.614428127596508,2.4341257854773035,0.06266118315790825,2.82,0.74,45.942,0.0
8,ppo:ppo_nominal_best.zip,timeout,300,36.0,-8.65,-0.8879100223093914,0.6283780301261634,0.0497423123222398,2.376572010834436,1.984,0.714,49.236,0.0
9,ppo:ppo_nominal_best.zip,timeout,300,36.0,-11.289,-0.7715445020780001,3.0639864602318188,-2.238721733949108,2.0245638644420847,1.798,1.056,50.561,0.0
10,ppo:ppo_nominal_best.zip,collision,16,1.92,-11.873,2.994099526712457,-1.8239741609223679,-0.38199380999559995,-1.6667906442910507,3.38,1.594,2.13,0.0
11,ppo:ppo_nominal_best.zip,collision,58,6.96,-9.954,2.208475653597139,2.8476682953278694,-1.2773114785339503,2.394092967356829,3.515,0.926,7.94,0.0
12,ppo:ppo_nominal_best.zip,collision,16,1.92,-17.232,2.4579641228574074,0.9060589134238768,-1.968233632202673,2.738596382364956,4.791,4.077,1.008,0.0
13,ppo:ppo_nominal_best.zip,collision,108,12.959999999999999,-4.657,2.4078003718993344,-0.20652661238978487,-1.667269038836193,-2.95643336517607,4.925,0.776,18.091,0.0
14,ppo:ppo_nominal_best.zip,success,152,18.24,18.919,-3.0057581159416857,-2.4134905458879405,-3.0387400268687337,-0.8180142555826948,1.596,0.292,20.592,0.063
15,ppo:ppo_nominal_best.zip,collision,18,2.16,-18.547,0.15193669062707382,2.385978934814556,1.0096686722464927,-0.4593904231073198,2.972,2.501,2.159,0.0
16,ppo:ppo_nominal_best.zip,collision,28,3.36,-10.956,1.697583252982545,2.618747609539521,-0.9253518270495227,0.12223031357433678,3.621,1.532,3.811,0.0
17,ppo:ppo_nominal_best.zip,collision,28,3.36,-12.337,1.6190560230256255,1.9873717140303695,2.7738841107675425,-3.1668552587812346,5.282,3.469,3.458,0.0
18,ppo:ppo_nominal_best.zip,collision,28,3.36,-6.744,1.8753514118274186,0.0832229300621341,-3.1086643860184924,0.8221564663442607,5.038,2.107,4.28,0.0
19,ppo:ppo_nominal_best.zip,collision,64,7.68,-3.05,-0.985206789680138,2.8679939930292146,-1.750889710738278,-1.929464652846894,4.858,0.828,10.496,0.0
