episode,policy,outcome,steps,time_s,ret,start_x,start_y,goal_x,goal_y,start_dist,final_dist,path_length,path_efficiency
0,pctrl_avoid,timeout,300,36.0,5.099,1.764388417569239,-1.7586739840602121,0.8006109862698683,2.5421683262052834,4.408,0.388,9.836,0.0
1,pctrl_avoid,timeout,300,36.0,5.543,2.055861877649704,1.9012443440130964,2.390742050536076,-3.166302050780322,5.079,0.97,9.2,0.0
2,pctrl_avoid,success,158,18.96,28.187,3.1712018139801135,1.8730362829680196,0.029108857330901294,0.3423830532767518,3.495,0.278,6.394,0.5
3,pctrl_avoid,timeout,300,36.0,-5.294,-2.174642983309795,0.7202534673473968,3.129344945164063,-1.822024331292167,5.882,3.941,4.049,0.0
4,pctrl_avoid,timeout,300,36.0,-11.24,-0.2162814379181497,2.669873748434255,-2.9716462158489847,0.09528844973676964,3.771,3.019,1.402,0.0
5,pctrl_avoid,timeout,300,36.0,-8.493,-1.6159044990250828,-3.1245182365279627,0.09035293823688884,-0.02001001348157283,3.542,2.241,3.027,0.0
6,pctrl_avoid,success,140,16.8,27.131,2.1123054707311715,-2.2114490812067853,-0.8349676121458773,-3.176100850866714,3.101,0.275,5.492,0.51
7,pctrl_avoid,success,131,15.719999999999999,26.058,1.5473340631158852,-2.614428127596508,2.4341257854773035,0.06266118315790825,2.82,0.299,5.671,0.444
8,pctrl_avoid,success,63,7.56,25.283,-0.8879100223093914,0.6283780301261634,0.0497423123222398,2.376572010834436,1.984,0.297,3.242,0.519
9,pctrl_avoid,success,31,3.7199999999999998,25.966,-0.7715445020780001,3.0639864602318188,-2.238721733949108,2.0245638644420847,1.798,0.295,2.031,0.738
10,pctrl_avoid,success,68,8.16,32.042,2.994099526712457,-1.8239741609223679,-0.38199380999559995,-1.6667906442910507,3.38,0.291,4.591,0.671
11,pctrl_avoid,timeout,300,36.0,0.253,2.208475653597139,2.8476682953278694,-1.2773114785339503,2.394092967356829,3.515,0.465,7.996,0.0
12,pctrl_avoid,timeout,300,36.0,-12.238,2.4579641228574074,0.9060589134238768,-1.968233632202673,2.738596382364956,4.791,4.238,3.49,0.0
13,pctrl_avoid,success,142,17.04,36.051,2.4078003718993344,-0.20652661238978487,-1.667269038836193,-2.95643336517607,4.916,0.286,8.138,0.567
14,pctrl_avoid,success,61,7.319999999999999,23.48,-3.0057581159416857,-2.4134905458879405,-3.0387400268687337,-0.8180142555826948,1.596,0.29,3.2,0.405
15,pctrl_avoid,success,149,17.88,25.943,0.15193669062707382,2.385978934814556,1.0096686722464927,-0.4593904231073198,2.972,0.293,6.728,0.397
16,pctrl_avoid,timeout,300,36.0,-10.469,1.697583252982545,2.618747609539521,-0.9253518270495227,0.12223031357433678,3.621,2.715,5.144,0.0
17,pctrl_avoid,success,137,16.439999999999998,38.126,1.6190560230256255,1.9873717140303695,2.7738841107675425,-3.1668552587812346,5.282,0.287,8.163,0.61
18,pctrl_avoid,timeout,300,36.0,8.165,1.8753514118274186,0.0832229300621341,-3.1086643860184924,0.8221564663442607,5.038,0.405,8.756,0.0
19,pctrl_avoid,success,86,10.32,38.508,-0.985206789680138,2.8679939930292146,-1.750889710738278,-1.929464652846894,4.858,0.297,6.531,0.698
